County,Candidate,Party
BRĂILA,IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA
BRĂILA,MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
BRĂILA,JUCAN IOANA-CRISTINA,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
BRĂILA,ZISOPOL DRAGOȘ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA
BRĂILA,LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA
BRĂILA,LONGHER VICTORIA,UNIUNEA POLONEZILOR DIN ROMÂNIA
BRĂILA,IRIȘEC IOSEF,UNIUNEA POLONEZILOR DIN ROMÂNIA
BRĂILA,ZIELONKA ANA,UNIUNEA POLONEZILOR DIN ROMÂNIA
BRĂILA,STANCU IONUȚ-CĂTĂLIN,UNIUNEA SALVAȚI ROMÂNIA
BRĂILA,NICA PAUL-ADRIAN,UNIUNEA SALVAȚI ROMÂNIA
BRĂILA,SÎRBU VIOLETA,UNIUNEA SALVAȚI ROMÂNIA
BRĂILA,MANEA IONUȚ-BOGDAN,UNIUNEA SALVAȚI ROMÂNIA
BRĂILA,IRIMIA NICOLAE,UNIUNEA SALVAȚI ROMÂNIA
BRĂILA,UDREA FĂNEL,UNIUNEA SALVAȚI ROMÂNIA
BRĂILA,CRÎSTICI OGNEAN,UNIUNEA SÂRBILOR DIN ROMÂNIA
BRĂILA,PETREȚCHI NICOLAE-MIROSLAV,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BRĂILA,HORVAT IRINA-LIUBA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BRĂILA,SAUCIUC ILIE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BRĂILA,SZABO-CONDREI MARIA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BRĂILA,PASENCIUC VASILE,UNIUNEA UCRAINENILOR DIN ROMÂNIA

BRĂILA,GHERMAN LUCICA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BUZĂU,BABIN VASILE-RĂZVAN,ALIANȚA NAȚIONAL CREȘTINĂ
BUZĂU,TATARU PAULA-ELENA,ALIANȚA NAȚIONAL CREȘTINĂ
BUZĂU,MUNCACIU SORIN-TITUS,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,DINU COZMIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,SPÎNU SEBASTIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,NEGUȚ ELENA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,DUMITRU CONSTANTIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,PUTINICĂ ELENA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,MAHOVICI ALEXANDRU,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,IONESCU MIHAIL,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,TUDORACHE MARIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BUZĂU,ONORIU ÎMPĂRĂȚEL ESTERA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BUZĂU,GROSARU IOANA,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.
BUZĂU,STOICA BOGDAN-ALIN,"ASOCIAȚIA ""LIGA ALBANEZILOR DIN ROMÂNIA"""
BUZĂU,STANCU IONEL,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
BUZĂU,CODREANU CRISTINA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
BUZĂU,PĂUN NICOLAE,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
BUZĂU,PARASCHIV IULIAN-COSTEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
BUZĂU,PARASCHIV BOGDAN-FLORIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
BUZĂU,GOTU VIORICA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
BUZĂU,PĂUN IONUȚ-CONSTANTIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
BUZĂU,VASILE DANIEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
BUZĂU,ION MIRCEA,CANDIDAT INDEPENDENT
BUZĂU,NEGOIȚĂ MATEI-ALEXANDRU,CANDIDAT INDEPENDENT
BUZĂU,FEODOR SILVIU,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
BUZĂU,ARTION NICOLAE,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
BUZĂU,CRĂCIUN SVETLANA-FLORENTINA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
BUZĂU,AVRAMESCU CĂTĂLIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BUZĂU,PANAIT ELENA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BUZĂU,ION FLORINEL,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BUZĂU,ÇOBAN HASAN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BUZĂU,NICOLESCU DAN-ALEXANDRU,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI

BUZĂU,IVAȘCU MARIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BUZĂU,VEXLER SILVIU,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA
BUZĂU,BĂDULESCU DORIN-VALERIU,FORȚA DREPTEI
BUZĂU,ALEXANDRU IOAN-CRISTIAN,FORȚA DREPTEI
BUZĂU,RĂUREANU FLORICA,FORȚA DREPTEI
BUZĂU,CIUBUC GEORGEL,FORȚA DREPTEI
BUZĂU,PUIU ȘTEFAN,FORȚA DREPTEI
BUZĂU,IONIȚĂ ADRIAN,FORȚA DREPTEI
BUZĂU,IONESCU MIRCEA-CLAUDIU,FORȚA DREPTEI
BUZĂU,SAMOILĂ DORIN,FORȚA DREPTEI
BUZĂU,CRĂCIUN GEORGICĂ,FORȚA DREPTEI
BUZĂU,BOUDA ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
BUZĂU,MOȚEC ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
BUZĂU,PERVULESCU ASTRID-MARICHEN,FORUMUL CEHILOR DIN ROMÂNIA
BUZĂU,GANȚ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
BUZĂU,ȘINDILARIU THOMAS,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
BUZĂU,ROST ANDREA-BETTINA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
BUZĂU,MANTA-KLEMENS CHRISTINE,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
BUZĂU,VIZUREANU ION,PARTIDUL ECOLOGIST ROMÂN
BUZĂU,STĂNESCU GEORGETA-CARMEN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,BUDURU ADINA-ELENA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,IRIMIA GABRIELA-LOREDANA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,OPREA IOANA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,ANGHEL SANDA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,VLAD CONSTANTIN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,DUNCA PETRU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BUZĂU,MOCANU ADRIAN,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,ROȘIORU SILVIU-LAURENȚIU,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,BOLOȘ MARIETA,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,ZOICAN ADRIAN,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,TORCĂRESCU ȘTEFAN,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,MIRCICĂ CONSTANTIN,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,ONETZ ION-MIRCEA,PARTIDUL NAȚIONAL LIBERAL

BUZĂU,LAZĂR MARIAN-COSMIN,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,DRAGOMIR GICU-GABRIEL,PARTIDUL NAȚIONAL LIBERAL
BUZĂU,ȚUCULESCU ANDREI,PARTIDUL NOUA ROMÂNIE
BUZĂU,FRIGEOIU MIHAELA-ALINA,PARTIDUL OAMENILOR TINERI
BUZĂU,EPURESCU NICOLAE-GEORGE,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BUZĂU,SOARE IOANA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BUZĂU,SIMION DANIEL-PETRICĂ,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BUZĂU,AVRAM ZENOVIEA-FĂNUȚA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BUZĂU,UDREA SORIN-EDUARD,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BUZĂU,MUREȘAN DOINA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,DOROICAN VASILE,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,RADU MANUELA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,BURTEA RAMONA-MIRELA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,ILIE RAMONA-ELENA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,RADU DIANA-CRISTINA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,DOBRUTĂ MARIANA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,HORHOGEA CRISTINA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,MARINESCU NICOLAE-CĂTĂLIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BUZĂU,CIOLACU ION-MARCEL,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,NEAGU PETRE-EMANOIL,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,LUNGU ROMEO-DANIEL,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,MATACHE OANA,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,CEPARU FLORIN,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,COJOCARU TEODOR,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,COMAN EDUARD-VALENTIN,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,IONIȚĂ NICOLETA-BRIANA,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,POPESCU VASILE-DAN,PARTIDUL SOCIAL DEMOCRAT
BUZĂU,MAGHERESCU ALEXANDRU-CRISTIAN-MIRCEA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,CHIRILĂ VASILE-ROMICĂ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,VLASE CARMEN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,OANCEA GHEORGHE,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,IANCU GHEORGHE,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,DUMITRESCU MIHAELA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT

BUZĂU,DUMITRESCU PAUL-FLORIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,BULGARIU ROXANA-DENISA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,POPA MARIA-SĂNDINA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BUZĂU,ȘTEFĂNESCU LUCICA,PARTIDUL SOCIAL DEMOCRAT UNIT
BUZĂU,MANOLE SORIN-ANDREI,PARTIDUL SOCIAL DEMOCRAT UNIT
BUZĂU,RĂDULESCU MIHAELA,PARTIDUL SOCIAL DEMOCRAT UNIT
BUZĂU,CHIRCĂ MARIANA,PARTIDUL SOCIAL DEMOCRAT UNIT
BUZĂU,BRATU FLORIN,PARTIDUL SOCIAL DEMOCRAT UNIT
BUZĂU,PLOPEANU RODICA,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,PĂDUROIU VIOREL-MIRCEA,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,DOGARU AUREL,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,MANOLE CLAUDIA-IOANA,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,BORUGĂ ANTON-DUMITRU,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,NEDU IRINA-CLAUDIA,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,BANU VERONICA-ȘTEFANIA,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,DINCĂ IONUȚ,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,IONESCU GEORGIAN,PARTIDUL S.O.S. ROMÂNIA
BUZĂU,BĂDESCU ȘTEFAN,PATRIOȚII POPORULUI ROMÂN
BUZĂU,KORKMAZ TEODORA-GEORGETA,ROMÂNIA SOCIALISTĂ
BUZĂU,IVAN ALIN-ALEXANDRU,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
BUZĂU,PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA
BUZĂU,TERZIAN SIRUN,UNIUNEA ARMENILOR DIN ROMÂNIA
BUZĂU,BOGDAN-CĂUȘ-NICOLAIDES NARINE,UNIUNEA ARMENILOR DIN ROMÂNIA
BUZĂU,PAPAZIAN PETRU,UNIUNEA ARMENILOR DIN ROMÂNIA
BUZĂU,NACOV GHEORGHE,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
BUZĂU,TOPCIOV PETRU,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
BUZĂU,COSILCOV ADRIAN-SORIN,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
BUZĂU,IVANCIOV ANA-CAROLINA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
BUZĂU,PIȚ DANIEL-MARIUS,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
BUZĂU,SEHABI PETRONELA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
BUZĂU,GHERA GIURECI-SLOBODAN,UNIUNEA CROAȚILOR DIN ROMÂNIA
BUZĂU,FIRCZAK IULIUS -MARIAN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
BUZĂU,GAL FRANCISC-OSCAR,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA

BUZĂU,MUREȘAN MARIANA-SVETLANA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
BUZĂU,BOJCSUK SVETLANA-CARMEN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
BUZĂU,BODNARIUC GABRIELA-CRISTINA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
BUZĂU,BOCICOR MARIA,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
BUZĂU,AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
BUZĂU,OMER METIN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
BUZĂU,ZIADIN ELA,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
BUZĂU,ARSLAN OZGÜN,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
BUZĂU,VELULA ADEL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA
BUZĂU,KELEMEN ATTILA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,POGOCSAN FERDINAND,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,PAL ODETE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,BÁLINT ATTILA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,BOROS ISTVÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,DEÁK CSILLA-KATALIN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,SZILAGYI LORÁNT-MÁRTON,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,MIHÁLY GERGŐ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,KOLOZSI ERNŐ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BUZĂU,IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA
BUZĂU,MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
BUZĂU,JUCAN IOANA-CRISTINA,UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA
BUZĂU,ZISOPOL DRAGOȘ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA
BUZĂU,LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA
BUZĂU,LONGHER VICTORIA,UNIUNEA POLONEZILOR DIN ROMÂNIA
BUZĂU,IRIȘEC IOSEF,UNIUNEA POLONEZILOR DIN ROMÂNIA
BUZĂU,ZIELONKA ANA,UNIUNEA POLONEZILOR DIN ROMÂNIA
BUZĂU,ALECSANDRU MARIUS-NICOLAE,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,STĂNESCU ROXANA-MARIANA,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,GHEORGHE ADRIAN,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,IONAȘCU FLORIAN-IULIAN,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,ENACHE IONUȚ,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,VLĂDESCU VALENTIN,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,VERIȘANU CIPRIAN-ALEXANDRU,UNIUNEA SALVAȚI ROMÂNIA

BUZĂU,STĂNESCU PETRICĂ,UNIUNEA SALVAȚI ROMÂNIA
BUZĂU,CRÎSTICI OGNEAN,UNIUNEA SÂRBILOR DIN ROMÂNIA
BUZĂU,PETREȚCHI NICOLAE-MIROSLAV,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BUZĂU,HORVAT IRINA-LIUBA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BUZĂU,SAUCIUC ILIE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BUZĂU,SZABO-CONDREI MARIA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BUZĂU,PASENCIUC VASILE,UNIUNEA UCRAINENILOR DIN ROMÂNIA
BUZĂU,GHERMAN LUCICA,UNIUNEA UCRAINENILOR DIN ROMÂNIA
CARAŞ-SEVERIN,PUIU MONICA-GABRIELA,ALIANȚA NAȚIONAL CREȘTINĂ
CARAŞ-SEVERIN,MICLĂU SAMUEL-VIRGIL,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,CREȚAN SERGIU-IONUȚ,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,GAIȚA BOGDAN-ALEXANDRU,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,MARTINESCU PAVEL,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,BORA MARTA-MARIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,BELOESCU GEORGE-ZORAN-THEODOR,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,URSULESCU OCTAVIAN-MARIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
CARAŞ-SEVERIN,GROSARU IOANA,ASOCIAȚIA ITALIENILOR DIN ROMÂNIA – RO.AS.IT.
CARAŞ-SEVERIN,STOICA BOGDAN-ALIN,"ASOCIAȚIA ""LIGA ALBANEZILOR DIN ROMÂNIA"""
CARAŞ-SEVERIN,STANCU IONEL,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
CARAŞ-SEVERIN,CODREANU CRISTINA,ASOCIAȚIA MACEDONENILOR DIN ROMÂNIA
CARAŞ-SEVERIN,PĂUN NICOLAE,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
CARAŞ-SEVERIN,PARASCHIV IULIAN-COSTEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
CARAŞ-SEVERIN,PARASCHIV BOGDAN-FLORIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
CARAŞ-SEVERIN,GOTU VIORICA,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
CARAŞ-SEVERIN,PĂUN IONUȚ-CONSTANTIN,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
CARAŞ-SEVERIN,VASILE DANIEL,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA"""
CARAŞ-SEVERIN,FEODOR SILVIU,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
CARAŞ-SEVERIN,ARTION NICOLAE,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
CARAŞ-SEVERIN,CRĂCIUN SVETLANA-FLORENTINA,COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA
CARAŞ-SEVERIN,CÎRSTOCEA ION-ALIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
CARAŞ-SEVERIN,BELDESCU DIANA-LORENA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
CARAŞ-SEVERIN,VEXLER SILVIU,FEDERAȚIA COMUNITĂȚILOR EVREIEȘTI DIN ROMÂNIA
CARAŞ-SEVERIN,DUNCA ROMEO-DAN,FORȚA DREPTEI

CARAŞ-SEVERIN,CHIRIACESCU SEBASTIAN-ANIEL,FORȚA DREPTEI
CARAŞ-SEVERIN,APETREI ANDREEA-DIANA,FORȚA DREPTEI
CARAŞ-SEVERIN,DUMITRAȘ ERVIN-GEORGIAN,FORȚA DREPTEI
CARAŞ-SEVERIN,RADU LAURA,FORȚA DREPTEI
CARAŞ-SEVERIN,MEZA DANIEL,FORȚA DREPTEI
CARAŞ-SEVERIN,VLAD ADRIAN,FORȚA DREPTEI
CARAŞ-SEVERIN,BOUDA ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
CARAŞ-SEVERIN,MOȚEC ȘTEFAN,FORUMUL CEHILOR DIN ROMÂNIA
CARAŞ-SEVERIN,PERVULESCU ASTRID-MARICHEN,FORUMUL CEHILOR DIN ROMÂNIA
CARAŞ-SEVERIN,GANȚ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
CARAŞ-SEVERIN,ȘINDILARIU THOMAS,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
CARAŞ-SEVERIN,ROST ANDREA-BETTINA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
CARAŞ-SEVERIN,MANTA-KLEMENS CHRISTINE,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA
CARAŞ-SEVERIN,PAKATAN TITUS-TRAIAN,PARTIDUL ECOLOGIST ROMÂN
CARAŞ-SEVERIN,STAICU ANDREI-ALEXANDRU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,BONCILĂ DARIUS-CRINEL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,ROTARIU LAURENȚIU-RAUL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,HUMENIUC MIHAI,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,GROZUȚA IONELA-MARIANA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,JURA MIRON-SAMOIL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,ZAMANȚ NICULINA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
CARAŞ-SEVERIN,VELA ION-MARCEL,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,RUJAN DUMITRU,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,MARȘALIC JARO-NORBERT,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,SURDU DANIEL-GEORGE,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,FETEA CORNELIA-MARIA,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,CÎRDEI IUSTIN-DORU,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,COȘEI DORU-SORIN,PARTIDUL NAȚIONAL LIBERAL
CARAŞ-SEVERIN,LUPAȘCU VIOREL,PARTIDUL NOUA ROMÂNIE
CARAŞ-SEVERIN,NEGRU FLORIN-SERGIU,PARTIDUL OAMENILOR TINERI
CARAŞ-SEVERIN,MELNIC MARIA-ANDREEA,PARTIDUL OAMENILOR TINERI
CARAŞ-SEVERIN,DANCIU DAN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
CARAŞ-SEVERIN,ROHOZNEANU DAN-MIHAI,PARTIDUL ROMÂNIA ÎN ACȚIUNE

CARAŞ-SEVERIN,IVAȘCU DANIELA-ERIKA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CARAŞ-SEVERIN,CIURCEA MIRCEA-AUREL,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CARAŞ-SEVERIN,MÎRȘOLEA IONUȚ-FLORIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CARAŞ-SEVERIN,IVAȘCU NICOLAE,PARTIDUL ROMÂNIA ÎN ACȚIUNE
CARAŞ-SEVERIN,ISAC MARIUS-ADRIAN,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,MIHALCEA SILVIA-CLAUDIA,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,NEDELCEA CONSTANTIN-FLAVIUS,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,BONA MIHAI,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,MICLĂU ION-LUCIAN,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,FILIPESCU OANA,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,SURU VICHENTE,PARTIDUL SOCIAL DEMOCRAT
CARAŞ-SEVERIN,ZEICU CORNELIU-CONSTANTIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CARAŞ-SEVERIN,VELA ION,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CARAŞ-SEVERIN,NENIȚĂ FABIANA-LORENA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
CARAŞ-SEVERIN,COSMA TALIA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
