County,Candidate,Party
ALBA,AMUZAN MĂDĂLINA-GABRIELA,PARTIDUL REPUBLICAN DIN ROMÂNIA
ALBA,ONICIUC ELENA-CORNELIA,PARTIDUL REPUBLICAN DIN ROMÂNIA
ALBA,IGNAT ION-ALIN-DAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,VOICU ALEXANDRU-RAREȘ,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,TUHUȚ MIHAI-IOAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,GABRA ROXANA-MARIA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,MARA CĂTĂLIN-SERGIU,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,STOIA SORINA-CRISTINA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,ȘERDEAN ANDREI-NICOLAE,PARTIDUL ROMÂNIA ÎN ACȚIUNE
ALBA,VUȘCAN VOICU,PARTIDUL SOCIAL DEMOCRAT
ALBA,BARA NICOLAE-ADRIAN,PARTIDUL SOCIAL DEMOCRAT
ALBA,FABIAN-MĂRINCEAN IULIA,PARTIDUL SOCIAL DEMOCRAT
ALBA,GHEORGHIȚĂ DELIA-ANGELA,PARTIDUL SOCIAL DEMOCRAT
ALBA,SĂRMĂȘAN ANDREI-CĂLIN,PARTIDUL SOCIAL DEMOCRAT
ALBA,HANȚIU MARIA-NARCISA,PARTIDUL SOCIAL DEMOCRAT
ALBA,ȚÎRĂU IOAN-STELIAN,PARTIDUL SOCIAL DEMOCRAT
ALBA,POP LUCIAN-MIHAI,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ALBA,GAVRILĂ LIDIA-SIMIDA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ALBA,PIROI ALEXANDRU-CRISTIAN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ALBA,ROȘU-COZMA GABRIELA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
ALBA,DASCĂLU LAURENȚA,PARTIDUL SOCIAL DEMOCRAT UNIT
ALBA,STAVRI GEORGE-CRISTIAN,PARTIDUL SOCIAL DEMOCRAT UNIT
ALBA,BUMBU IOAN-GRUIA,PARTIDUL S.O.S. ROMÂNIA
ALBA,VUȘDEA GEORGIA-RAFAELA,PARTIDUL S.O.S. ROMÂNIA
ALBA,HAUCA PAULA-ISABELA,PARTIDUL S.O.S. ROMÂNIA
ALBA,PIENAR COSMIN-GABRIEL,PARTIDUL S.O.S. ROMÂNIA
ALBA,VELICIU ANDREEA-ANA-MARIA,PARTIDUL S.O.S. ROMÂNIA
ALBA,MARCU SMARANDA-ELENA,PARTIDUL S.O.S. ROMÂNIA
ALBA,BACI LETIȚIA-MARIA,PARTIDUL S.O.S. ROMÂNIA
ALBA,OROSAN AURELIAN-MARIUS,PATRIOȚII POPORULUI ROMÂN
ALBA,TUDOROIU CRISTINA-EUGENIA,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
ALBA,PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA
ALBA,TERZIAN SIRUN,UNIUNEA ARMENILOR DIN ROMÂNIA
ALBA,BOGDAN-CĂUȘ-NICOLAIDES NARINE,UNIUNEA ARMENILOR DIN ROMÂNIA
ALBA,PAPAZIAN PETRU,UNIUNEA ARMENILOR DIN ROMÂNIA
ALBA,NACOV GHEORGHE,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
ALBA,TOPCIOV PETRU,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
ALBA,COSILCOV ADRIAN-SORIN,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
ALBA,IVANCIOV ANA-CAROLINA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
ALBA,PIȚ DANIEL-MARIUS,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
ALBA,SEHABI PETRONELA,UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA
ALBA,GHERA GIURECI-SLOBODAN,UNIUNEA CROAȚILOR DIN ROMÂNIA
ALBA,FIRCZAK IULIUS -MARIAN,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
ALBA,GAL FRANCISC-OSCAR,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA
